date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:24	8358/8358	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:24%20GMT	http://stonecolddev.in/posts/calculating-aws-s3-storage-usage-with-csv-textql	stonecolddev.in/posts/calculating-aws-s3-storage-usage-with-csv-textql.html	(from http://stonecolddev.in/categories/programming)
16:27:24	8425/8425	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:24%20GMT	http://stonecolddev.in/posts/re-re-handling-increased-load	stonecolddev.in/posts/re-re-handling-increased-load.html	(from http://stonecolddev.in/categories/programming)
16:27:24	8682/8682	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:24%20GMT	http://stonecolddev.in/posts/re-handling-increased-load	stonecolddev.in/posts/re-handling-increased-load.html	(from http://stonecolddev.in/categories/programming)
16:27:25	8989/8989	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:25%20GMT	http://stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres	stonecolddev.in/posts/re-re-playing-with-scala-building-a-small-web-app-with-play-2-4-play-slick-and-postgres.html	(from http://stonecolddev.in/categories/programming)
16:27:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:25%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/categories/general)
16:27:25	8241/8241	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:25%20GMT	http://stonecolddev.in/posts/test-draft	stonecolddev.in/posts/test-draft.html	(from http://stonecolddev.in/categories/general)
16:27:26	8349/8349	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:26%20GMT	http://stonecolddev.in/posts/re-posting-from-twitter	stonecolddev.in/posts/re-posting-from-twitter.html	(from http://stonecolddev.in/categories/general)
16:27:26	0/0	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202017%2022:27:26%20GMT	http://stonecolddev.in/assets/archives-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.css	stonecolddev.in/assets/archives-e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855.css	(from http://stonecolddev.in/2016/06)
16:27:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:26%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2016/06)
16:27:27	26/26	---MCZ	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Apr%202017%2022:27:26%20GMT	http://stonecolddev.in/assets/archives-0b49e5589c0b754795ec3744e394bb16c1bb4934cadb70d2488c99e8fcb8976d.js	stonecolddev.in/assets/archives-0b49e5589c0b754795ec3744e394bb16c1bb4934cadb70d2488c99e8fcb8976d.js	(from http://stonecolddev.in/2016/06)
16:27:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:26%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2015/08)
16:27:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:27%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2015/06)
16:27:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:27%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2015/05)
16:27:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:27%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2015/02)
16:27:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:28%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2015/01)
16:27:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:28%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2014/12)
16:27:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:28%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2014/11)
16:27:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:28%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2014/10)
16:27:29	26180/26180	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:29%20GMT	http://stonecolddev.in/2014/10?page=2	stonecolddev.in/2014/104658.html	(from http://stonecolddev.in/2014/10)
16:27:29	10669/10669	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:29%20GMT	http://stonecolddev.in/2014/10?page=3	stonecolddev.in/2014/109ba9.html	(from http://stonecolddev.in/2014/10)
16:27:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:29%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/2014/09)
16:27:30	12125/12125	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:30%20GMT	http://stonecolddev.in/2014/09?page=2	stonecolddev.in/2014/094658.html	(from http://stonecolddev.in/2014/09)
16:27:30	8942/8942	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202017%2022:27:30%20GMT	http://stonecolddev.in/2014/09?page=3	stonecolddev.in/2014/099ba9.html	(from http://stonecolddev.in/2014/09)
16:27:31	576/576	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:27:30%20GMT	http://stonecolddev.in/stylesheets/passwords.css	stonecolddev.in/stylesheets/passwords.css	(from http://stonecolddev.in/users/password/new)
16:27:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:31%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/users/password/new)
16:27:31	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Apr%202017%2022:27:31%20GMT	http://stonecolddev.in/users/auth/twitter	stonecolddev.in/users/auth/twitter	(from http://stonecolddev.in/users/password/new)
16:27:31	576/576	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202017%2022:27:31%20GMT	http://stonecolddev.in/javascripts/passwords.js	stonecolddev.in/javascripts/passwords.js	(from http://stonecolddev.in/users/password/new)
